Actual distance,predicted distence,
16,12,wrong detection of parameter
15.5,9.5,wrong detection of parameter
15,15.1,
14.5,14.3,
14,14.3,
13.5,13.55,
13,12.9,
12.5,7.6,wrong detection of parameter
12,12.3,
11.5,11.2,
11,11.2,
10.5,7.6,wrong detection of parameter
10,9.9,
9.5,9.49,
9,8.84,
8.5,8.3,
8,8.04,
7.5,7.4,
7,7.03,
6.8,6.82,
6.5,6.54,
5.6,5.61,
5.5,5.49,
4.4,7.81,wrong detection of parameter
4,3.94,
3.5,3.46,
3.2,3.11,
3,3.07,
2.8,2.87,
2.5,2.47,
2,2.002,
1.5,,wrong detection of parameter
1,,wrong detection of parameter
